ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
Invercargill City,2023-2024,1.0758271748962164E7,2214163.1591394763,6879.265625,2472122.2893880205,158480.51025390625,151554.98583984375,82717.1591796875,1095078.7104492188,310065.06104473036,,6890.27490234375,123967.1708984375,192882.19091796875,,,1740622.3069335937,220252.49658203125,13758.4189453125,2308451.225011489,
New Plymouth District,2023-2024,689729.3588867188,114494.93008578432,15533.0869140625,3331632.072512638,216920.671875,303571.2492704504,500313.59142922796,170277.0302734375,1140020.1322189034,2126041.1747702206,302323.57958984375,2632881.2732555913,418656.60302734375,,728704.1708563112,3183896.1301298253,2373455.544874004,5480073.4345703125,3704252.742384727,743719.3745117188
Stratford District,2023-2024,425351.802734375,23207.27490234375,,1474615.7027630974,170123.55908203125,262631.29822495405,1080483.863805913,30913.37109375,1361119.2758789062,363114.29541015625,416176.57119523594,8616052.373969823,936129.4350585938,7730.59375,1802748.3828125,1405536.443359375,4145759.889939491,3900763.8389342064,8321721.723688343,739554.9611596201
South Taranaki District,2023-2024,223255.1142578125,,,1.0909230090083104E7,230759.2705078125,169924.6650390625,2583656.3624827666,30846.046875,5244479.903303079,917931.1306219362,1155618.9126914828,5994043.512457874,1178257.4692382812,61422.263671875,7263872.4444967825,1.0580595452159926E7,5.4968333832917824E7,5.29351531987075E7,1.3567802706192555E7,4549854.055943627
Whanganui District,2023-2024,207255.95654296875,7653.24365234375,22980.18359375,7207187.33861826,160971.39990234375,38305.7880859375,1585903.6501302083,15308.6650390625,1124973.834867111,814442.655602788,406342.3349609375,8473697.732029334,1319483.9267578125,,3997606.0546568627,6000534.006029794,2.0692169925057445E7,6647354.943162149,1.3909437506475948E7,6110661.310016467
Rangitikei District,2023-2024,2468490.9503427544,200094.4716796875,146038.443359375,4.370689006669731E7,1877677.6293945312,246362.7587890625,1791831.5037549785,92123.93359375,1034522.1381835938,958842.077244179,2082929.7426757812,1.0782487234340534E7,6122649.6907035075,512146.55224609375,3861820.3212890625,1.803053646684283E7,9.91456507807177E7,3.3325297690232456E7,3.5326899311810665E7,2.130794833510647E7
Manawatu District,2023-2024,236949.271484375,91616.26513671875,30521.28076171875,3.779290003557751E7,810157.1401367188,45689.5205078125,4218662.49224303,45900.715571384804,420278.71644837625,922260.176807598,4294232.578102022,3744234.198046875,5867915.7658183975,572462.408628217,3063291.2515644147,2.0611835052935436E7,1.6963370057636148E8,3.621619153466988E7,3.118991903343291E7,2.6739857739476103E7
Palmerston North City,2023-2024,7607.982421875,15216.9638671875,68498.8095703125,3516017.4091126686,228391.6279296875,7604.08447265625,109137.74906939338,,76132.42822265625,274073.44140625,121750.380859375,1337878.5234375,731290.2297028187,22850.6005859375,357525.697265625,1657797.750578278,6764062.010104549,2719686.9545362284,2704743.582004443,2121330.828416054
Tararua District,2023-2024,1391916.0087890625,113922.76513671875,91265.146484375,2.6745788561510034E7,372807.71435546875,60895.2900390625,1.028763909714882E7,129589.12548828125,402391.87646484375,2273202.692001762,1940699.7436523438,8720733.522690717,5438875.862982537,486557.646484375,2065882.4829101562,7632482.134765625,5.863523174026501E7,1.3744152226859298E7,2.752997226216299E7,4.5638703716785386E7
Horowhenua District,2023-2024,159274.30419921875,30358.94921875,60717.474609375,1.2227263621968826E7,485749.2056410846,37910.3095703125,1332561.5356387869,,45591.39013671875,828039.8676757812,1169237.0986328125,4388514.175044041,5433190.91846469,242993.037109375,1267567.9814453125,8538558.224059818,9.217871360667893E7,1.0696057740705423E7,7289665.498200061,8682780.96535118
Kapiti Coast District,2023-2024,15088.517578125,15093.369140625,,1147278.9581878062,90330.91985868567,30179.15771484375,56985.27544615502,7554.86474609375,,30225.1796875,332453.458984375,2920460.7543141088,857662.4043064492,7554.76416015625,166345.1484375,202362.24638097428,1954992.478159467,512824.8680013021,1751608.2458754594,1757428.006571691
Porirua City,2023-2024,30133.00341796875,7527.2451171875,,30104.00537109375,67746.71728515625,,52698.92333984375,,,,,1942738.7173253677,22583.052734375,7525.6220703125,90404.8642578125,,613404.8331801471,30136.55029296875,1595878.7602175246,214020.6704063266
Upper Hutt City,2023-2024,97898.1943359375,15043.53076171875,,369086.31005859375,158093.3017578125,,51391.71490119485,30120.935546875,,15066.14892578125,143001.64990234375,2818135.4687346816,549929.4755859375,7524.20166015625,60235.3017578125,15062.09521484375,787562.0047679228,67785.86279296875,1836771.7470913755,311889.7583773744
Lower Hutt City,2023-2024,,7516.17822265625,7520.4453125,52600.61279296875,127690.8603515625,7521.15625,37582.11181640625,7498.87353515625,7499.38330078125,142476.5546875,15019.42138671875,602888.9960286458,95445.30885225184,7493.26318359375,,,996122.1046989891,44988.8544921875,522314.01629710477,110330.35975988052
Wellington City,2023-2024,7516.2802734375,,15019.43408203125,52592.48681640625,82702.32568359375,,33101.51307636336,,,7517.29638671875,7519.2265625,579205.8077090993,90147.4404296875,,30059.6103515625,75153.3486328125,1502443.1915345436,7503.8671875,548927.1611328125,97692.3076171875
Masterton District,2023-2024,347821.19775390625,,7567.0615234375,1.1712164790902648E7,219214.9267578125,7564.14111328125,1.3448468298531327E7,,60351.5849609375,4018565.539635034,1480799.7700195312,1.5162797544655714E7,8702714.42789522,3396091.3911132812,1.342654161721048E7,3818138.509880515,3.6412477710747147E8,3.0779141205118336E7,4.9905984508159086E7,7.460337575691444E7
Carterton District,2023-2024,37665.41748046875,,,6670818.431366805,75295.48876953125,,3085249.2878638175,,37619.2177734375,2352533.8764188876,572379.0366210938,9771328.274178538,1296411.4560738357,1807981.3466796875,3039911.282845052,2373436.932151884,2.608578829917835E8,2.1113876866059672E7,2.379318660014361E7,1.686916963745595E7
South Wairarapa District,2023-2024,7518.2109375,,30053.01708984375,1.003224385238396E7,751304.984375,7499.5869140625,3641218.643700215,22531.24853515625,578761.96484375,8877132.768661918,2088915.560546875,6973664.8212890625,2230292.217378983,1719374.115234375,6129450.264949066,6956639.381786153,3.8406652232746804E8,7.416511184015012E7,2.5749386046562884E7,1.7161700597715605E7
Buller District,2023-2024,1.4094160223098576E7,1470248.5590820312,44675.23828125,9282794.100061275,89774.29345703125,327010.390625,519150.78466796875,59528.17724609375,4380154.1803710945,82045.76513671875,96675.68505859375,624718.55078125,2266300.6069335938,7455.990234375,1865051.0561523438,5925609.277862668,1793115.3776022517,334590.99267578125,6228443.197914751,274065.61962890625
Grey District,2023-2024,2.1486731540778186E7,581559.9340820312,22074.31103515625,1.0325817812473193E7,205932.06191214768,714608.2548828125,127935.53506050858,14722.1982421875,1.2631268091178386E7,81095.2978515625,368463.34814453125,7136052.369628906,1651621.6027573529,,3319550.41796875,6640463.776824832,3835145.1701535694,856594.3080710019,6950746.580710018,331700.36748046876
Westland District,2023-2024,1.3560864380076211E7,2644619.1475011487,1837348.5899682138,1.0998858127441406E7,2557743.279767923,5420237.212339154,910353.490726486,379170.28857421875,2.6828741269452743E7,632664.5807004443,240526.546875,4036391.2726600794,4893157.4775390625,187135.73486328125,4983093.429810049,3281084.6146924784,1794088.51171875,3608505.835885799,1.422317753979588E7,561205.9204101562
