ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
South Taranaki District,2023-2024,1579111.6136182598,879714.5639648438,6548465.0829331335,7.725409633715916E7,984301.9565429688,254612.30078125,1.8492882983032703E7,169429.88916015625,2.1518107754496016E7,4.488431394995979E7
Whanganui District,2023-2024,1712721.5975413602,589644.1293945312,2451858.586898744,3.623507692364812E7,813086.4340820312,275878.6142578125,1.9035278768026195E7,306856.9775390625,9338633.229036458,7983235.1947572
Rangitikei District,2023-2024,1.0229721344858686E7,1930305.4057617188,1.2249479641011797E7,1.592217989372013E8,6520539.736173024,1123567.0424804688,4.0146863584252454E7,3522243.1638786765,1.1057925349170879E7,3.7018795894215316E7
Manawatu District,2023-2024,1519138.099609375,1285964.7148897059,1.504423907483724E7,2.299916428997626E8,2760667.8440563725,282434.302734375,4.2155489014815025E7,7642490.345036765,1.1714055286257276E7,3.4152454171712235E7
Palmerston North City,2023-2024,30432.123046875,60864.74658203125,1149080.3149528953,1.223360307667739E7,547985.55078125,53246.18115234375,3148706.702655867,281675.3474609375,1229261.5967428766,4106741.41351103
Tararua District,2023-2024,4457471.2705078125,555981.845703125,9486607.857123163,1.0790966556399357E8,1876338.583003983,501984.701171875,5.427580793121362E7,4244903.2255859375,4317950.0283203125,2.6075998610353477E7
Horowhenua District,2023-2024,1828799.3564453125,615096.48046875,7063057.556008732,1.1478052788479817E8,1502966.1060317096,296049.72119140625,9733390.124550015,5103699.624320236,3285235.375310202,1.088592367522595E7
Kapiti Coast District,2023-2024,732790.822265625,37461.69353170956,1239290.1987208948,6520162.293370866,388066.809229473,90575.73779296875,877810.4768210017,173883.98779296875,240085.67362706803,1556300.924398744
Porirua City,2023-2024,483218.87841796875,7537.27734375,64046.110313265934,2394359.48649663,172164.88538794423,7533.02392578125,1523318.333404182,7525.6220703125,,45199.34765625
Upper Hutt City,2023-2024,804566.7467658548,278661.43701171875,474575.439453125,3180944.656508502,451709.75,7536.46728515625,1624476.1148169425,75288.14404296875,82881.47998046875,353957.46630859375
Lower Hutt City,2023-2024,22498.353515625,15016.2734375,110465.77809053309,1465573.93615962,221533.05360753677,30075.38037109375,627328.1203182444,15016.779296875,7499.38330078125,277501.44287109375
Wellington City,2023-2024,22553.0048828125,7516.2802734375,52583.7333984375,2006341.4899662992,187984.5947265625,,642223.0394435509,120248.58984375,22519.33447265625,75131.23046875
Masterton District,2023-2024,1859548.1831054688,90680.658203125,1.750981133471393E7,4.1110339239343584E8,1177426.430503217,37803.8681640625,1.10405902007217E8,6352929.615686274,5363111.470572916,4.1321473418014705E7
Carterton District,2023-2024,557521.3142999387,7537.17626953125,4507472.4412320005,2.7273755501073843E8,362160.2648092831,30058.60986328125,4.8048545698449E7,2911918.784411382,1935926.0487094058,2.265605079488357E7
South Wairarapa District,2023-2024,562739.6803289675,75039.38330078125,1.2210571425675934E7,4.102585363714497E8,1893462.314453125,22536.8212890625,4.460099280137677E7,4495636.391674326,4180465.098979397,7.288934116199449E7
Buller District,2023-2024,2.276110463735256E7,1253314.2305376837,823884.4565429688,4333367.9952780325,312733.86962890625,3154436.52756587,2384913.498046875,149161.61865234375,1.0708196741015626E7,3884454.4922506893
Grey District,2023-2024,3.134563059512676E7,730435.2202148438,1852843.1764456956,1.0676384372106694E7,586257.7959443934,5100956.069805071,3275384.135646446,51545.38623046875,1.9165306341151576E7,4497339.886563649
Westland District,2023-2024,2.106654650141889E7,1803679.44921875,3221510.310546875,5627648.029785156,4432513.9809263935,1.2785729108796723E7,9094589.161621094,1788456.8970664828,3.6063437818506815E7,7694855.992911304
